Torneo|Tipo|Superficie|Round|Número sets|Jugador1|Jugador2|Ganador|Marcadores
Brisbane International|ATP250|Hard|1st Round|3|Mayer F.|Giraldo S.|Mayer F.|6-4 6-4   
Brisbane International|ATP250|Hard|1st Round|3|Benneteau J.|Nieminen J.|Nieminen J.|3-6 6-2 1-6  
Brisbane International|ATP250|Hard|1st Round|3|Nishikori K.|Matosevic M.|Nishikori K.|7-5 6-2   
Brisbane International|ATP250|Hard|1st Round|3|Mitchell B.|Baghdatis M.|Baghdatis M.|4-6 4-6   
Brisbane International|ATP250|Hard|1st Round|3|Istomin D.|Klizan M.|Istomin D.|6-1 6-2   
Brisbane International|ATP250|Hard|1st Round|3|Ito T.|Millman J.|Millman J.|4-6 1-6   
Brisbane International|ATP250|Hard|1st Round|3|Falla A.|Levine J.|Falla A.|6-1 7-6   
Brisbane International|ATP250|Hard|1st Round|3|Kudla D.|Melzer J.|Melzer J.|6-2 4-6 4-6  
Brisbane International|ATP250|Hard|1st Round|3|Robredo T.|Harrison R.|Robredo T.|6-4 7-6   
Brisbane International|ATP250|Hard|1st Round|3|Baker B.|Dimitrov G.|Dimitrov G.|3-6 6-7   
Brisbane International|ATP250|Hard|1st Round|3|Goffin D.|Ebden M.|Goffin D.|6-2 6-2   
Brisbane International|ATP250|Hard|1st Round|3|Kunitsyn I.|Hewitt L.|Hewitt L.|3-6 6-4 2-6  
Brisbane International|ATP250|Hard|2nd Round|3|Simon G.|Falla A.|Simon G.|7-6 7-6   
Brisbane International|ATP250|Hard|2nd Round|3|Mayer F.|Baghdatis M.|Baghdatis M.|4-6 2-6   
Brisbane International|ATP250|Hard|2nd Round|3|Nishikori K.|Robredo T.|Nishikori K.|6-3 6-3   
Brisbane International|ATP250|Hard|2nd Round|3|Nieminen J.|Dolgopolov O.|Dolgopolov O.|2-6 1-4   
Brisbane International|ATP250|Hard|2nd Round|3|Dimitrov G.|Raonic M.|Dimitrov G.|6-3 6-4   
Brisbane International|ATP250|Hard|2nd Round|3|Goffin D.|Melzer J.|Melzer J.|4-6 6-7   
Brisbane International|ATP250|Hard|2nd Round|3|Istomin D.|Hewitt L.|Istomin D.|7-5 7-5   
Brisbane International|ATP250|Hard|2nd Round|3|Millman J.|Murray A.|Murray A.|1-6 7-5 3-6  
Brisbane International|ATP250|Hard|Quarterfinals|3|Baghdatis M.|Simon G.|Baghdatis M.|6-3 6-4   
Brisbane International|ATP250|Hard|Quarterfinals|3|Dolgopolov O.|Nishikori K.|Nishikori K.|4-6 6-7   
Brisbane International|ATP250|Hard|Quarterfinals|3|Dimitrov G.|Melzer J.|Dimitrov G.|6-3 6-2   
Brisbane International|ATP250|Hard|Quarterfinals|3|Istomin D.|Murray A.|Murray A.|4-6 6-7   
Brisbane International|ATP250|Hard|Semifinals|3|Dimitrov G.|Baghdatis M.|Dimitrov G.|6-3 5-7 7-6  
Brisbane International|ATP250|Hard|Semifinals|3|Nishikori K.|Murray A.|Murray A.|4-6 0-2   
Brisbane International|ATP250|Hard|The Final|3|Murray A.|Dimitrov G.|Murray A.|7-6 6-4   
Chennai Open|ATP250|Hard|1st Round|3|Donskoy E.|Soeda G.|Soeda G.|1-6 2-6   
Chennai Open|ATP250|Hard|1st Round|3|Bedene A.|Sousa J.|Bedene A.|6-3 6-2   
Chennai Open|ATP250|Hard|1st Round|3|Bhambri Y.|Haase R.|Haase R.|5-7 3-6   
Chennai Open|ATP250|Hard|1st Round|3|Roger-Vasselin E.|Kuznetsov An.|Roger-Vasselin E.|6-3 6-4   
Chennai Open|ATP250|Hard|1st Round|3|Lu Y.H.|Bachinger M.|Bachinger M.|4-6 6-3 4-6  
Chennai Open|ATP250|Hard|1st Round|3|Stebe C-M.|Sijsling I.|Stebe C-M.|6-4 6-4   
Chennai Open|ATP250|Hard|1st Round|3|Rufin G.|Amritraj P.|Amritraj P.|7-6 2-6 3-6  
Chennai Open|ATP250|Hard|1st Round|3|Bautista R.|Kavcic B.|Bautista R.|7-6 6-2   
Chennai Open|ATP250|Hard|1st Round|3|Cipolla F.|Paire B.|Paire B.|3-6 4-6   
Chennai Open|ATP250|Hard|1st Round|3|Devvarman S.|Hajek J.|Devvarman S.|6-3 6-3   
Chennai Open|ATP250|Hard|1st Round|3|Ram R.|Sela D.|Sela D.|4-6 1-6   
Chennai Open|ATP250|Hard|1st Round|3|Stakhovsky S.|Bemelmans R.|Stakhovsky S.|7-6 7-6   
Chennai Open|ATP250|Hard|2nd Round|3|Haase R.|Bedene A.|Bedene A.|5-7 3-6   
Chennai Open|ATP250|Hard|2nd Round|3|Soeda G.|Amritraj P.|Soeda G.|7-6 3-6 6-4  
Chennai Open|ATP250|Hard|2nd Round|3|Roger-Vasselin E.|Tipsarevic J.|Tipsarevic J.|2-6 3-6   
Chennai Open|ATP250|Hard|2nd Round|3|Wawrinka S.|Stebe C-M.|Wawrinka S.|6-4 6-3   
Chennai Open|ATP250|Hard|2nd Round|3|Sela D.|Paire B.|Paire B.|1-6 0-6   
Chennai Open|ATP250|Hard|2nd Round|3|Cilic M.|Stakhovsky S.|Cilic M.|4-6 6-2 6-3  
Chennai Open|ATP250|Hard|2nd Round|3|Bachinger M.|Bautista R.|Bautista R.|6-7 3-6   
Chennai Open|ATP250|Hard|2nd Round|3|Berdych T.|Devvarman S.|Berdych T.|6-3 6-1   
Chennai Open|ATP250|Hard|Quarterfinals|3|Cilic M.|Paire B.|Paire B.|4-6 6-1 5-7  
Chennai Open|ATP250|Hard|Quarterfinals|3|Bedene A.|Wawrinka S.|Bedene A.|6-2 7-6   
Chennai Open|ATP250|Hard|Quarterfinals|3|Soeda G.|Tipsarevic J.|Tipsarevic J.|2-6 4-6   
Chennai Open|ATP250|Hard|Quarterfinals|3|Bautista R.|Berdych T.|Bautista R.|7-5 2-6 6-3  
Chennai Open|ATP250|Hard|Semifinals|3|Bedene A.|Tipsarevic J.|Tipsarevic J.|6-4 2-6 2-6  
